Row ID,Order ID,Year,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
41,ORD10040,2024,2024-04-19,2024-04-21,First Class,CUST3040,Sara,Corporate,India,Nagpur,Maharashtra,676626,North,PRD5040,Sports,Mixer,Smart TV,16874.0,5,0.05,1417.9509561167426
42,ORD10041,2024,2024-06-25,2024-06-27,Second Class,CUST3041,Deepa,Home Office,India,Pune,Maharashtra,626955,East,PRD5041,Fashion,Perfume,Cotton Shirt,16466.0,1,,4209.574328783252
43,ORD10042,2023,2023-08-05,2023-08-11,Second Class,CUST3042,Meena,Home Office,India,Salem,Tamil Nadu,669951,East,PRD5042,Fashion,Perfume,HP Laptop,14588.0,8,,
44,ORD10043,2024,2024-02-15,2024-02-22,Same Day,CUST3043,Meena,Home Office,India,Mumbai,Maharashtra,622688,East,PRD5043,Home,Perfume,Smart TV,36917.0,5,0.2,6468.359389292605
45,ORD10044,2023,2023-10-10,2023-10-09,First Class,CUST3044,Meena,Consumer,India,Kozhikode,Kerala,614294,South,PRD5044,Fashion,Shirt,Samsung Mobile,71972.0,1,0.1,4874.503947268619
46,ORD10045,2024,2024-05-25,2024-05-28,Same Day,CUST3045,Vijay,Corporate,India,New Delhi,Delhi,670314,East,PRD5045,Home,Laptop,Cotton Shirt,63332.0,6,0.2,14762.121990563208
47,ORD10046,2023,2023-10-14,2023-10-11,First Class,CUST3046,Rahul,Consumer,India,Kozhikode,Kerala,698180,North,PRD5046,Beauty,Mixer,Sports Watch,38907.0,9,0.0,8793.60594880722
48,ORD10047,2024,2024-09-28,2024-09-25,First Class,CUST3047,Akalya,Home Office,India,Kozhikode,Kerala,689548,West,PRD5047,Beauty,Laptop,Sports Watch,53067.0,2,0.05,10869.588607881786
49,ORD10048,2023,2023-03-07,2023-03-07,Second Class,CUST3048,Vijay,Corporate,India,Salem,Tamil Nadu,673454,East,PRD5048,Sports,Mobile,Sports Watch,52398.0,2,0.05,8732.183340313102
50,ORD10049,2024,2024-08-27,2024-08-28,Standard Class,CUST3049,Akalya,Home Office,India,New Delhi,Delhi,660349,South,PRD5049,Sports,Shoes,Smart TV,77153.0,7,,14774.837823963253
51,ORD10050,2023,2023-07-05,2023-07-12,,CUST3050,Akalya,Consumer,India,Nagpur,Maharashtra,610616,West,PRD5050,Sports,TV,Mixer Pro,66105.0,6,0.0,13762.134428979134
52,ORD10051,2024,2024-06-16,2024-06-17,,CUST3051,Vijay,Home Office,India,Mangalore,Karnataka,694334,West,PRD5051,Electronics,Mobile,Smart TV,18027.0,2,0.05,
53,ORD10052,2024,2024-09-16,2024-09-20,Same Day,CUST3052,Meena,Consumer,India,New Delhi,Delhi,697804,Central,PRD5052,Home,Laptop,Nike Shoes,36707.0,1,0.1,4487.75571320664
54,ORD10053,2023,2023-09-10,2023-09-15,Same Day,CUST3053,Kumar,Home Office,India,Salem,Tamil Nadu,624186,East,PRD5053,Fashion,Mobile,Mixer Pro,8747.0,10,0.2,1103.8898592563155
55,ORD10054,2024,2024-04-26,2024-04-25,Second Class,CUST3054,Sara,Corporate,India,Coimbatore,Tamil Nadu,639336,Central,PRD5054,Electronics,Perfume,iPhone 14,71552.0,1,0.05,20785.953944911525
56,ORD10055,2024,2024-09-18,2024-09-18,,CUST3055,Akalya,Consumer,India,Kozhikode,Kerala,668437,Central,PRD5055,Electronics,Mixer,Sports Watch,29273.0,3,0.1,5985.469676815793
57,ORD10056,2024,2024-08-08,2024-08-13,,CUST3056,Sara,Corporate,India,Bengaluru,Karnataka,606803,East,PRD5056,Electronics,Shirt,Nike Shoes,68689.0,8,0.0,17508.90308523419
58,ORD10057,2024,2024-07-27,,Same Day,CUST3057,Meena,Corporate,India,New Delhi,Delhi,628947,East,PRD5057,Sports,TV,Cotton Shirt,69082.0,5,0.05,3741.823745658655
59,ORD10058,2023,2023-03-17,2023-03-19,Second Class,CUST3058,Deepa,Home Office,India,Salem,Tamil Nadu,660880,Central,PRD5058,Home,Laptop,iPhone 14,,3,0.0,0.0
60,ORD10059,2024,2024-11-22,2024-11-20,Same Day,CUST3059,Deepa,Consumer,India,Coimbatore,Tamil Nadu,666915,North,PRD5059,Home,Mixer,Samsung Mobile,24472.0,7,0.0,3121.887703276569
61,ORD10060,2024,2024-10-25,2024-10-29,Second Class,CUST3060,Meena,Home Office,India,Kochi,Kerala,627488,West,PRD5060,Fashion,Laptop,LED Bulb,36371.0,5,0.0,10743.400967194953
62,ORD10061,2024,2024-06-20,2024-06-22,First Class,CUST3061,Kumar,Corporate,India,Coimbatore,Tamil Nadu,639176,North,PRD5061,Beauty,Mixer,HP Laptop,49878.0,1,,13145.990791718054
63,ORD10062,2024,2024-07-25,,Second Class,CUST3062,Sara,Consumer,India,Trivandrum,Kerala,629062,East,PRD5062,Sports,Laptop,Smart TV,16979.0,10,,2079.770367827607
64,ORD10063,2024,2024-05-21,2024-05-28,Second Class,CUST3063,Sara,Corporate,India,Trivandrum,Kerala,656646,North,PRD5063,Electronics,Perfume,LED Bulb,31449.0,9,,8489.860675608568
65,ORD10064,2023,2023-12-18,2023-12-24,Standard Class,CUST3064,Deepa,Consumer,India,Nagpur,Maharashtra,674273,East,PRD5064,Fashion,Mobile,Smart TV,37159.0,2,0.1,
66,ORD10065,2024,2024-11-01,2024-10-30,,CUST3065,Kumar,Corporate,India,Hyderabad,Telangana,685698,West,PRD5065,Beauty,Mobile,Nike Shoes,16093.0,5,0.2,
67,ORD10066,2023,2023-05-21,,Standard Class,CUST3066,Akalya,Home Office,India,New Delhi,Delhi,632531,East,PRD5066,Beauty,Shirt,Samsung Mobile,50016.0,5,,10463.203829522427
68,ORD10067,2023,2023-04-26,,First Class,CUST3067,Vijay,Corporate,India,Pune,Maharashtra,632431,West,PRD5067,Fashion,Perfume,Nike Shoes,33413.0,10,,6733.540421144209
69,ORD10068,2023,2023-09-02,2023-09-05,,CUST3068,Akalya,Consumer,India,Salem,Tamil Nadu,664979,South,PRD5068,Electronics,Mobile,Nike Shoes,1232.0,5,0.0,315.7636325152363
70,ORD10069,2023,2023-05-07,2023-05-05,Same Day,CUST3069,Meena,Corporate,India,Mangalore,Karnataka,608214,Central,PRD5069,Electronics,Laptop,LED Bulb,73563.0,10,0.2,5945.933800161791
71,ORD10070,2023,2023-04-30,2023-05-04,Same Day,CUST3070,Kumar,Home Office,India,New Delhi,Delhi,668035,South,PRD5070,Fashion,Perfume,Smart TV,11933.0,4,,3315.932824468058
72,ORD10071,2024,2024-05-13,2024-05-15,Standard Class,CUST3071,Deepa,Corporate,India,Pune,Maharashtra,688359,West,PRD5071,Electronics,Mixer,iPhone 14,49558.0,10,0.2,8282.90287273486
73,ORD10072,2023,2023-11-22,,,CUST3072,Deepa,Consumer,India,Nagpur,Maharashtra,644601,North,PRD5072,Fashion,Perfume,Mixer Pro,67554.0,8,0.2,15739.295597109001
74,ORD10073,2024,2024-02-26,2024-02-23,Same Day,CUST3073,Vijay,Corporate,India,Mangalore,Karnataka,624604,North,PRD5073,Beauty,Perfume,Cotton Shirt,3970.0,2,0.0,464.9569087398828
75,ORD10074,2024,2024-04-30,,First Class,CUST3074,Deepa,Corporate,India,Salem,Tamil Nadu,626351,East,PRD5074,Electronics,Shirt,Samsung Mobile,77239.0,7,0.0,18096.72761320466
76,ORD10075,2024,2024-11-25,2024-11-23,Standard Class,CUST3075,Meena,Consumer,India,Mumbai,Maharashtra,650257,South,PRD5075,Fashion,TV,Sports Watch,47670.0,10,0.05,2767.661433755634
77,ORD10076,2023,2023-02-27,2023-02-25,Same Day,CUST3076,Rahul,Corporate,India,Mangalore,Karnataka,661482,Central,PRD5076,Fashion,TV,iPhone 14,20154.0,5,0.0,1457.7838278248657
78,ORD10077,2024,2024-08-24,2024-08-21,First Class,CUST3077,Vijay,Corporate,India,Chennai,Tamil Nadu,667235,Central,PRD5077,Electronics,Shirt,Samsung Mobile,21810.0,1,,3234.327098813365
79,ORD10078,2024,2024-08-12,2024-08-13,Same Day,CUST3078,Kumar,Home Office,India,Salem,Tamil Nadu,606840,North,PRD5078,Fashion,Mixer,Sports Watch,39992.0,4,,5441.079146592379
80,ORD10079,2023,2023-03-17,2023-03-22,Second Class,CUST3079,Deepa,Corporate,India,Pune,Maharashtra,633028,North,PRD5079,Fashion,Shirt,Smart TV,22919.0,4,0.0,1906.915307253696
81,ORD10080,2023,2023-05-21,2023-05-24,Same Day,CUST3080,Akalya,Home Office,India,Mysuru,Karnataka,690625,North,PRD5080,Home,Mobile,Smart TV,27008.0,1,0.2,6300.145830184688
82,ORD10081,2023,2023-03-12,2023-03-09,Same Day,CUST3081,Kumar,Home Office,India,Kozhikode,Kerala,689722,East,PRD5081,Home,Laptop,Nike Shoes,64044.0,3,0.0,13219.507021210758
83,ORD10082,2023,2023-09-18,,Second Class,CUST3082,Meena,Corporate,India,Kozhikode,Kerala,672870,South,PRD5082,Home,Laptop,Nike Shoes,64852.0,10,0.1,13161.058326794146
84,ORD10083,2023,2023-06-06,2023-06-12,First Class,CUST3083,Vijay,Corporate,India,Coimbatore,Tamil Nadu,624560,North,PRD5083,Beauty,Shoes,Mixer Pro,26148.0,10,0.0,2230.6767488346627
85,ORD10084,2023,2023-10-11,2023-10-17,Standard Class,CUST3084,Sara,Corporate,India,Mumbai,Maharashtra,655142,North,PRD5084,Home,Perfume,Smart TV,30620.0,6,,2817.7272094105238
86,ORD10085,2023,2023-11-04,2023-11-11,Second Class,CUST3085,Meena,Corporate,India,Mumbai,Maharashtra,615381,Central,PRD5085,Beauty,Mobile,Smart TV,38446.0,8,0.2,7736.144262316104
87,ORD10086,2024,2024-05-09,2024-05-07,First Class,CUST3086,Rahul,Corporate,India,Hyderabad,Telangana,663545,West,PRD5086,Fashion,Shirt,LED Bulb,74229.0,6,0.1,15613.262040743959
88,ORD10087,2023,2023-07-13,2023-07-12,First Class,CUST3087,Rahul,Corporate,India,Pune,Maharashtra,623242,South,PRD5087,Electronics,Mixer,Mixer Pro,24268.0,4,0.2,2164.9916493340397
89,ORD10088,2024,2024-02-07,2024-02-14,Standard Class,CUST3088,Vijay,Home Office,India,Hyderabad,Telangana,624024,North,PRD5088,Sports,Mobile,Nike Shoes,23246.0,2,,2502.0696449106017
90,ORD10089,2024,2024-10-21,2024-10-23,Second Class,CUST3089,Deepa,Corporate,India,Nagpur,Maharashtra,648575,North,PRD5089,Beauty,Mixer,Samsung Mobile,42634.0,8,0.2,10744.2989558563
91,ORD10090,2024,2024-07-17,2024-07-15,Same Day,CUST3090,Kumar,Corporate,India,Hyderabad,Telangana,673747,East,PRD5090,Home,Mixer,Mixer Pro,38038.0,2,0.1,11329.721708876677
92,ORD10091,2024,2024-09-01,2024-09-02,Second Class,CUST3091,Rahul,Home Office,India,Nagpur,Maharashtra,677917,North,PRD5091,Home,Shirt,Mixer Pro,54942.0,10,0.1,9549.064406625908
93,ORD10092,2023,2023-04-16,2023-04-23,Same Day,CUST3092,Akalya,Home Office,India,Hyderabad,Telangana,617912,East,PRD5092,Electronics,Perfume,Smart TV,26629.0,3,0.05,
94,ORD10093,2023,2023-07-20,2023-07-18,Same Day,CUST3093,Meena,Consumer,India,Mysuru,Karnataka,692265,West,PRD5093,Fashion,Shirt,iPhone 14,45656.0,4,0.0,11363.207705436598
95,ORD10094,2024,2024-01-10,2024-01-11,Standard Class,CUST3094,Kumar,Consumer,India,Mysuru,Karnataka,675674,North,PRD5094,Beauty,Mobile,Nike Shoes,66486.0,10,0.1,
96,ORD10095,2024,2024-02-19,2024-02-23,,CUST3095,Vijay,Home Office,India,Madurai,Tamil Nadu,671217,South,PRD5095,Home,Shirt,Mixer Pro,16755.0,10,0.05,1419.6402105862715
97,ORD10096,2024,2024-03-16,2024-03-16,First Class,CUST3096,Sara,Corporate,India,Pune,Maharashtra,690366,North,PRD5096,Home,Mixer,Cotton Shirt,75120.0,9,0.0,6390.7361104595375
98,ORD10097,2023,2023-12-20,2023-12-21,First Class,CUST3097,Kumar,Consumer,India,Mangalore,Karnataka,676628,West,PRD5097,Fashion,Mobile,HP Laptop,19202.0,8,0.1,3245.3721635515158
99,ORD10098,2023,2023-11-05,2023-11-06,First Class,CUST3098,Deepa,Corporate,India,Salem,Tamil Nadu,652839,Central,PRD5098,Beauty,Mixer,LED Bulb,13827.0,6,0.1,2163.9995517785605
100,ORD10099,2023,2023-08-10,2023-08-11,Second Class,CUST3099,Sara,Home Office,India,Mysuru,Karnataka,646015,Central,PRD5099,Beauty,Shirt,LED Bulb,69871.0,6,0.2,11155.935611610266
101,ORD10100,2023,2023-07-03,2023-07-06,,CUST3100,Deepa,Consumer,India,Mysuru,Karnataka,624415,North,PRD5100,Fashion,Laptop,Smart TV,67075.0,7,0.0,16734.457417945763
102,ORD10101,2023,2023-06-12,2023-06-18,First Class,CUST3101,Kumar,Home Office,India,Chennai,Tamil Nadu,652312,East,PRD5101,Sports,Mobile,LED Bulb,7774.0,3,0.1,1226.3378656073905
103,ORD10102,2023,2023-09-16,2023-09-17,Same Day,CUST3102,Sara,Consumer,India,Kochi,Kerala,678090,West,PRD5102,Beauty,Mixer,iPhone 14,73036.0,8,,17225.577274370455
104,ORD10103,2023,2023-01-08,2023-01-09,First Class,CUST3103,Sara,Home Office,India,Pune,Maharashtra,686069,South,PRD5103,Beauty,Mobile,Mixer Pro,12682.0,3,0.05,2610.4653237031557
105,ORD10104,2024,2024-12-10,2024-12-14,Second Class,CUST3104,Akalya,Home Office,India,Hyderabad,Telangana,693081,East,PRD5104,Fashion,Shirt,Nike Shoes,40009.0,3,0.2,5194.466098587362
106,ORD10105,2023,2023-01-08,2023-01-11,,CUST3105,Vijay,Corporate,India,Mumbai,Maharashtra,604988,Central,PRD5105,Beauty,Mixer,Smart TV,59263.0,1,0.0,8276.078927367556
107,ORD10106,2024,2024-08-18,2024-08-23,Same Day,CUST3106,Sara,Corporate,India,Madurai,Tamil Nadu,691541,South,PRD5106,Electronics,Mobile,Smart TV,21360.0,1,0.2,6116.1991180701
108,ORD10107,2024,2024-09-01,2024-08-29,Same Day,CUST3107,Rahul,Home Office,India,Hyderabad,Telangana,699595,South,PRD5107,Home,Shirt,Cotton Shirt,17874.0,6,0.0,2322.2302059412245
109,ORD10108,2023,2023-10-04,2023-10-11,Standard Class,CUST3108,Sara,Consumer,India,Nagpur,Maharashtra,666065,South,PRD5108,Electronics,Mobile,LED Bulb,33735.0,1,0.2,8333.491565106307
110,ORD10109,2024,2024-11-26,2024-11-25,Standard Class,CUST3109,Vijay,Corporate,India,Mumbai,Maharashtra,626163,North,PRD5109,Beauty,Laptop,Samsung Mobile,20177.0,8,0.05,2793.491262359714
111,ORD10110,2024,2024-09-29,2024-09-28,Second Class,CUST3110,Deepa,Consumer,India,Hyderabad,Telangana,693537,West,PRD5110,Beauty,Shoes,LED Bulb,62824.0,8,0.2,4048.414984460811
112,ORD10111,2023,2023-03-08,2023-03-06,Same Day,CUST3111,Sara,Corporate,India,Trivandrum,Kerala,695809,Central,PRD5111,Beauty,Shoes,HP Laptop,63425.0,1,0.0,9242.457890927337
113,ORD10112,2023,2023-06-05,2023-06-04,First Class,CUST3112,Akalya,Consumer,India,Hyderabad,Telangana,694930,South,PRD5112,Electronics,Shirt,Smart TV,53451.0,3,0.0,10239.554562716146
114,ORD10113,2023,2023-09-22,2023-09-27,Second Class,CUST3113,Kumar,Corporate,India,Mysuru,Karnataka,651714,West,PRD5113,Fashion,Shoes,HP Laptop,33932.0,7,,7082.39575340615
115,ORD10114,2023,2023-12-02,2023-12-08,First Class,CUST3114,Sara,Home Office,India,New Delhi,Delhi,635334,South,PRD5114,Fashion,Mixer,Nike Shoes,10043.0,8,0.2,1698.66781324375
116,ORD10115,2023,2023-05-04,2023-05-11,First Class,CUST3115,Kumar,Corporate,India,Mumbai,Maharashtra,609185,North,PRD5115,Electronics,Perfume,Smart TV,79945.0,8,0.2,23915.38582076148
117,ORD10116,2024,2024-05-05,2024-05-05,Same Day,CUST3116,Kumar,Home Office,India,Mumbai,Maharashtra,610930,Central,PRD5116,Sports,Mixer,Mixer Pro,29353.0,10,0.05,5597.255791618433
118,ORD10117,2023,2023-10-28,2023-11-04,Standard Class,CUST3117,Akalya,Corporate,India,Mysuru,Karnataka,690084,Central,PRD5117,Fashion,Shirt,Cotton Shirt,35251.0,1,,3584.5709427495117
119,ORD10118,2024,2024-01-02,2024-01-04,,CUST3118,Akalya,Corporate,India,Chennai,Tamil Nadu,691186,West,PRD5118,Fashion,Shirt,Samsung Mobile,5740.0,4,0.2,
120,ORD10119,2023,2023-06-21,2023-06-24,Same Day,CUST3119,Meena,Home Office,India,Bengaluru,Karnataka,606532,Central,PRD5119,Fashion,Laptop,Smart TV,74695.0,3,0.0,5594.440262708477
121,ORD10120,2023,2023-05-13,2023-05-19,Same Day,CUST3120,Akalya,Home Office,India,New Delhi,Delhi,609873,East,PRD5120,Sports,Mixer,Samsung Mobile,51897.0,4,,10156.12180565852
122,ORD10121,2024,2024-01-11,2024-01-08,,CUST3121,Rahul,Home Office,India,Trivandrum,Kerala,609143,West,PRD5121,Home,Laptop,Nike Shoes,15892.0,4,0.1,1837.450459479276
123,ORD10122,2023,2023-02-28,2023-03-03,,CUST3122,Kumar,Corporate,India,Trivandrum,Kerala,693631,North,PRD5122,Home,Mobile,Nike Shoes,62311.0,2,,15502.835487712553
124,ORD10123,2024,2024-06-21,2024-06-25,Second Class,CUST3123,Rahul,Consumer,India,Nagpur,Maharashtra,677072,West,PRD5123,Fashion,Mobile,Samsung Mobile,36264.0,5,0.1,5169.7969236641875
125,ORD10124,2024,2024-07-02,2024-07-07,Same Day,CUST3124,Vijay,Consumer,India,Mumbai,Maharashtra,685785,South,PRD5124,Sports,Perfume,Nike Shoes,70646.0,2,0.05,9256.373911071054
126,ORD10125,2024,2024-04-02,2024-03-30,Standard Class,CUST3125,Deepa,Corporate,India,Trivandrum,Kerala,658481,North,PRD5125,Sports,Mixer,Cotton Shirt,,8,0.1,0.0
127,ORD10126,2023,2023-11-04,2023-11-05,Second Class,CUST3126,Deepa,Corporate,India,Chennai,Tamil Nadu,628598,East,PRD5126,Electronics,Mobile,Mixer Pro,,10,0.0,0.0
128,ORD10127,2023,2023-02-28,2023-03-02,,CUST3127,Meena,Home Office,India,Mangalore,Karnataka,673689,East,PRD5127,Sports,Perfume,Nike Shoes,55900.0,7,,4878.694654509352
129,ORD10128,2024,2024-11-11,2024-11-12,Standard Class,CUST3128,Sara,Corporate,India,Bengaluru,Karnataka,603137,North,PRD5128,Electronics,Shoes,Mixer Pro,35763.0,10,0.1,9625.903761562939
130,ORD10129,2023,2023-04-21,2023-04-28,,CUST3129,Kumar,Home Office,India,Salem,Tamil Nadu,682321,Central,PRD5129,Sports,Mobile,Cotton Shirt,38673.0,6,0.1,
131,ORD10130,2024,2024-01-29,2024-02-04,,CUST3130,Deepa,Home Office,India,Chennai,Tamil Nadu,610799,East,PRD5130,Electronics,Mobile,Samsung Mobile,44337.0,5,0.0,3094.8000566732103
132,ORD10131,2023,2023-11-18,2023-11-25,Same Day,CUST3131,Vijay,Home Office,India,Salem,Tamil Nadu,652107,West,PRD5131,Electronics,Mobile,Smart TV,,5,0.05,0.0
